Result,Nationality,Points,Rider,Year,Date,Race,Weather
33,Swe,28,Zwar Kvist Benjamin,2022,10/07/2022,Lenzerheide,Dry
34,Usa,27,Silva Dante,2022,10/07/2022,Lenzerheide,Dry
35,Irl,26,O Callaghan Oisin,2022,10/07/2022,Lenzerheide,Dry
36,Fra,25,Payet Florent,2022,10/07/2022,Lenzerheide,Dry
37,Ita,24,Revelli Loris,2022,10/07/2022,Lenzerheide,Dry
38,Aus,23,A'Hern Kye,2022,10/07/2022,Lenzerheide,Dry
39,Sui,22,Lehmann Lino,2022,10/07/2022,Lenzerheide,Dry
40,Bra,21,Vieira Roger,2022,10/07/2022,Lenzerheide,Dry
41,Irl,20,Dickson Jacob,2022,10/07/2022,Lenzerheide,Dry
42,Ita,19,Palazzari Davide,2022,10/07/2022,Lenzerheide,Dry
43,Nzl,18,Macdonald Brook,2022,10/07/2022,Lenzerheide,Dry
44,Sui,17,Lehmann Janis,2022,10/07/2022,Lenzerheide,Dry
45,Nzl,16,Brannigan George,2022,10/07/2022,Lenzerheide,Dry
46,Ger,15,Fischbach Johannes,2022,10/07/2022,Lenzerheide,Dry
47,Fra,14,Chatanay Valentin,2022,10/07/2022,Lenzerheide,Dry
48,Sui,13,Niederberger Noel,2022,10/07/2022,Lenzerheide,Dry
49,Fra,12,Cabirou Rudy,2022,10/07/2022,Lenzerheide,Dry
50,Usa,11,Grice Christopher,2022,10/07/2022,Lenzerheide,Dry
51,Can,10,Cruz Lucas,2022,10/07/2022,Lenzerheide,Dry
52,Rsa,9,Philogene Christopher,2022,10/07/2022,Lenzerheide,Dry
53,Fra,8,Estaque Thomas,2022,10/07/2022,Lenzerheide,Dry
54,Ned,7,Botteram Tristan,2022,10/07/2022,Lenzerheide,Dry
55,Nzl,6,Blenkinsop Samuel,2022,10/07/2022,Lenzerheide,Dry
56,Sct,5,Edmondson Jamie,2022,10/07/2022,Lenzerheide,Dry
57,Usa,4,Norton Dakotah,2022,10/07/2022,Lenzerheide,Dry
58,Usa,3,Shaw Luca,2022,10/07/2022,Lenzerheide,Dry
59,Nzl,2,Masters Edward,2022,10/07/2022,Lenzerheide,Dry
60,Fra,1,Rilat Emile,2022,10/07/2022,Lenzerheide,Dry
61,Esp,0,Menoyo Busquets Pau,2022,10/07/2022,Lenzerheide,Dry
62,Fra,0,Vidal Antoine,2022,10/07/2022,Lenzerheide,Dry
1,Fra,200,Vergier Loris,2022,17/07/2022,Vallnord Pal Arinsal,Dry
2,Fra,160,Bruni Loic,2022,17/07/2022,Vallnord Pal Arinsal,Dry
3,Can,140,Iles Finnley,2022,17/07/2022,Vallnord Pal Arinsal,Dry
4,Usa,125,Gwin Aaron,2022,17/07/2022,Vallnord Pal Arinsal,Dry
5,Aut,110,Kolb Andreas,2022,17/07/2022,Vallnord Pal Arinsal,Dry
6,Aus,95,Meier-Smith Luke,2022,17/07/2022,Vallnord Pal Arinsal,Dry
7,Esp,90,Suarez Alonso Angel,2022,17/07/2022,Vallnord Pal Arinsal,Dry
8,Swe,85,Zwar Oliver,2022,17/07/2022,Vallnord Pal Arinsal,Dry
9,Rsa,80,Minnaar Greg,2022,17/07/2022,Vallnord Pal Arinsal,Dry
10,Brt,75,Greenland Laurie,2022,17/07/2022,Vallnord Pal Arinsal,Dry
11,Ger,70,Hartenstern Max,2022,17/07/2022,Vallnord Pal Arinsal,Dry
12,Fra,65,Estaque Thomas,2022,17/07/2022,Vallnord Pal Arinsal,Dry
13,Fra,60,Pierron Amaury,2022,17/07/2022,Vallnord Pal Arinsal,Dry
14,Brt,55,Kerr Bernard,2022,17/07/2022,Vallnord Pal Arinsal,Dry
15,Fra,50,Daprela Thibaut,2022,17/07/2022,Vallnord Pal Arinsal,Dry
16,Nzl,45,Brannigan George,2022,17/07/2022,Vallnord Pal Arinsal,Dry
17,Fra,44,Vidal Antoine,2022,17/07/2022,Vallnord Pal Arinsal,Dry
18,Brt,43,Hart Danny,2022,17/07/2022,Vallnord Pal Arinsal,Dry
19,Usa,42,Norton Dakotah,2022,17/07/2022,Vallnord Pal Arinsal,Dry
20,Sct,41,Williamson Greg,2022,17/07/2022,Vallnord Pal Arinsal,Dry
21,Aus,40,Lucas Dean,2022,17/07/2022,Vallnord Pal Arinsal,Dry
22,Sct,39,Craik Ethan,2022,17/07/2022,Vallnord Pal Arinsal,Dry
23,Ita,38,Palazzari Davide,2022,17/07/2022,Vallnord Pal Arinsal,Dry
24,Ita,37,Revelli Loris,2022,17/07/2022,Vallnord Pal Arinsal,Dry
25,Fra,36,Frixtalon Hugo,2022,17/07/2022,Vallnord Pal Arinsal,Dry
26,Brt,35,Vernon Taylor,2022,17/07/2022,Vallnord Pal Arinsal,Dry
27,Brt,34,Hatton Charlie,2022,17/07/2022,Vallnord Pal Arinsal,Dry
28,Brt,33,Brayton Adam,2022,17/07/2022,Vallnord Pal Arinsal,Dry
29,Usa,32,Dooley Austin,2022,17/07/2022,Vallnord Pal Arinsal,Dry
30,Fra,31,Pierron Baptiste,2022,17/07/2022,Vallnord Pal Arinsal,Dry
31,Fra,30,Rogge Antoine,2022,17/07/2022,Vallnord Pal Arinsal,Dry
32,Fra,29,Levesque Dylan,2022,17/07/2022,Vallnord Pal Arinsal,Dry
33,Brt,28,Williams Preston,2022,17/07/2022,Vallnord Pal Arinsal,Dry
34,Esp,27,Menoyo Busquets Pau,2022,17/07/2022,Vallnord Pal Arinsal,Dry
35,Irl,26,Dickson Jacob,2022,17/07/2022,Vallnord Pal Arinsal,Dry
36,Aus,25,Brosnan Troy,2022,17/07/2022,Vallnord Pal Arinsal,Dry
36,Sct,25,Edmondson Jamie,2022,17/07/2022,Vallnord Pal Arinsal,Dry
38,Usa,23,Silva Dante,2022,17/07/2022,Vallnord Pal Arinsal,Dry
39,Can,22,Wallace Mark,2022,17/07/2022,Vallnord Pal Arinsal,Dry
40,Aut,21,Trummer David,2022,17/07/2022,Vallnord Pal Arinsal,Dry
41,Nzl,20,Masters Edward,2022,17/07/2022,Vallnord Pal Arinsal,Dry
42,Irl,19,Dunne Ronan,2022,17/07/2022,Vallnord Pal Arinsal,Dry
43,Can,18,Jewett Jakob,2022,17/07/2022,Vallnord Pal Arinsal,Dry
44,Nzl,17,Macdonald Brook,2022,17/07/2022,Vallnord Pal Arinsal,Dry
45,Nzl,16,Blenkinsop Samuel,2022,17/07/2022,Vallnord Pal Arinsal,Dry
46,Fra,15,Laly Thibault,2022,17/07/2022,Vallnord Pal Arinsal,Dry
47,Can,14,Sherlock Seth,2022,17/07/2022,Vallnord Pal Arinsal,Dry
48,Bra,13,Vieira Roger,2022,17/07/2022,Vallnord Pal Arinsal,Dry
49,Ger,12,Fischbach Johannes,2022,17/07/2022,Vallnord Pal Arinsal,Dry
50,Aus,11,A'Hern Kye,2022,17/07/2022,Vallnord Pal Arinsal,Dry
51,Fra,10,Iniguez Matteo,2022,17/07/2022,Vallnord Pal Arinsal,Dry
52,Aus,9,Fearon Connor,2022,17/07/2022,Vallnord Pal Arinsal,Dry
53,Nzl,8,Pene Tuhoto-Ariki,2022,17/07/2022,Vallnord Pal Arinsal,Dry
54,Usa,7,Grice Christopher,2022,17/07/2022,Vallnord Pal Arinsal,Dry
55,Ita,6,Introzzi Stefano,2022,17/07/2022,Vallnord Pal Arinsal,Dry
56,Esp,5,Jorba Prats Ferran,2022,17/07/2022,Vallnord Pal Arinsal,Dry
57,Fra,4,Cabirou Rudy,2022,17/07/2022,Vallnord Pal Arinsal,Dry
58,Rsa,3,Erlangsen Theo,2022,17/07/2022,Vallnord Pal Arinsal,Dry
59,Rsa,2,Finnis Connor,2022,17/07/2022,Vallnord Pal Arinsal,Dry
60,Can,1,Jamieson Elliot,2022,17/07/2022,Vallnord Pal Arinsal,Dry
61,Usa,0,Mulally Neko,2022,17/07/2022,Vallnord Pal Arinsal,Dry
62,Brt,0,Walker Matt,2022,17/07/2022,Vallnord Pal Arinsal,Dry
63,Fra,0,Payet Florent,2022,17/07/2022,Vallnord Pal Arinsal,Dry
1,Fra,200,Pierron Amaury,2022,31/07/2022,Snowshoe,Dry
2,Brt,160,Kerr Bernard,2022,31/07/2022,Snowshoe,Dry
3,Aut,140,Kolb Andreas,2022,31/07/2022,Snowshoe,Dry
4,Irl,125,Dunne Ronan,2022,31/07/2022,Snowshoe,Dry
5,Rsa,110,Minnaar Greg,2022,31/07/2022,Snowshoe,Dry
6,Brt,95,Hart Danny,2022,31/07/2022,Snowshoe,Dry
7,Brt,90,Greenland Laurie,2022,31/07/2022,Snowshoe,Dry
8,Fra,85,Vergier Loris,2022,31/07/2022,Snowshoe,Dry
9,Can,80,Iles Finnley,2022,31/07/2022,Snowshoe,Dry
10,Aut,75,Trummer David,2022,31/07/2022,Snowshoe,Dry
11,Fra,70,Levesque Dylan,2022,31/07/2022,Snowshoe,Dry
12,Sct,65,Craik Ethan,2022,31/07/2022,Snowshoe,Dry
13,Fra,60,Iniguez Matteo,2022,31/07/2022,Snowshoe,Dry
14,Usa,55,Gwin Aaron,2022,31/07/2022,Snowshoe,Dry
15,Aus,50,Brosnan Troy,2022,31/07/2022,Snowshoe,Dry
16,Fra,45,Coulanges Benoit,2022,31/07/2022,Snowshoe,Dry
17,Can,44,Wallace Mark,2022,31/07/2022,Snowshoe,Dry
18,Fra,43,Daprela Thibaut,2022,31/07/2022,Snowshoe,Dry
19,Usa,42,Silva Dante,2022,31/07/2022,Snowshoe,Dry
20,Usa,41,Dooley Austin,2022,31/07/2022,Snowshoe,Dry
21,Nzl,40,Masters Wyn,2022,31/07/2022,Snowshoe,Dry
22,Fra,39,Thirion Rémi,2022,31/07/2022,Snowshoe,Dry
23,Sct,38,Edmondson Jamie,2022,31/07/2022,Snowshoe,Dry
24,Aus,37,Fearon Connor,2022,31/07/2022,Snowshoe,Dry
25,Brt,36,Hatton Charlie,2022,31/07/2022,Snowshoe,Dry
26,Swe,35,Zwar Oliver,2022,31/07/2022,Snowshoe,Dry
27,Can,34,Jewett Jakob,2022,31/07/2022,Snowshoe,Dry
28,Fra,33,Chapelet Simon,2022,31/07/2022,Snowshoe,Dry
29,Brt,32,Brayton Adam,2022,31/07/2022,Snowshoe,Dry
30,Nzl,31,Blenkinsop Samuel,2022,31/07/2022,Snowshoe,Dry
31,Fra,30,Rogge Antoine,2022,31/07/2022,Snowshoe,Dry
32,Fra,29,Estaque Thomas,2022,31/07/2022,Snowshoe,Dry
33,Ita,28,Revelli Loris,2022,31/07/2022,Snowshoe,Dry
34,Fra,27,Vige Gaëtan,2022,31/07/2022,Snowshoe,Dry
35,Can,26,Mcdowall Kirk,2022,31/07/2022,Snowshoe,Dry
36,Aus,25,Meier-Smith Luke,2022,31/07/2022,Snowshoe,Dry
37,Ger,24,Hartenstern Max,2022,31/07/2022,Snowshoe,Dry
38,Usa,23,Mulally Neko,2022,31/07/2022,Snowshoe,Dry
39,Sct,22,Williamson Greg,2022,31/07/2022,Snowshoe,Dry
40,Nzl,21,Macdonald Brook,2022,31/07/2022,Snowshoe,Dry
41,Fra,20,Payet Florent,2022,31/07/2022,Snowshoe,Dry
42,Brt,19,Williams Preston,2022,31/07/2022,Snowshoe,Dry
43,Aus,18,Lucas Dean,2022,31/07/2022,Snowshoe,Dry
44,Swe,17,Zwar Kvist Benjamin,2022,31/07/2022,Snowshoe,Dry
45,Fra,16,Laly Thibault,2022,31/07/2022,Snowshoe,Dry
46,Aus,15,A'Hern Kye,2022,31/07/2022,Snowshoe,Dry
47,Fra,14,Frixtalon Hugo,2022,31/07/2022,Snowshoe,Dry
48,Usa,13,Norton Dakotah,2022,31/07/2022,Snowshoe,Dry
49,Fra,12,Iniguez Raphael,2022,31/07/2022,Snowshoe,Dry
50,Brt,11,Monro Jim,2022,31/07/2022,Snowshoe,Dry
51,Nzl,10,Pene Tuhoto-Ariki,2022,31/07/2022,Snowshoe,Dry
52,Usa,9,Ervin Tyler,2022,31/07/2022,Snowshoe,Dry
53,Bra,8,Vieira Roger,2022,31/07/2022,Snowshoe,Dry
54,Rsa,7,Erlangsen Theo,2022,31/07/2022,Snowshoe,Dry
56,Ita,5,Palazzari Davide,2022,31/07/2022,Snowshoe,Dry
57,Irl,4,Kerr Henry,2022,31/07/2022,Snowshoe,Dry
58,Sct,3,Cathro Ben,2022,31/07/2022,Snowshoe,Dry
59,Brt,2,Slack Dan,2022,31/07/2022,Snowshoe,Dry
60,Esp,1,Suarez Alonso Angel,2022,31/07/2022,Snowshoe,Dry
61,Esp,0,Menoyo Busquets Pau,2022,31/07/2022,Snowshoe,Dry
1,Can,200,Iles Finnley,2022,07/08/2022,Mont-Sainte-Anne,Dry
2,Brt,160,Greenland Laurie,2022,07/08/2022,Mont-Sainte-Anne,Dry
3,Aus,140,Brosnan Troy,2022,07/08/2022,Mont-Sainte-Anne,Dry
4,Usa,125,Gwin Aaron,2022,07/08/2022,Mont-Sainte-Anne,Dry
5,Brt,110,Kerr Bernard,2022,07/08/2022,Mont-Sainte-Anne,Dry
6,Ita,95,Revelli Loris,2022,07/08/2022,Mont-Sainte-Anne,Dry
7,Sct,90,Craik Ethan,2022,07/08/2022,Mont-Sainte-Anne,Dry
8,Nzl,85,Blenkinsop Samuel,2022,07/08/2022,Mont-Sainte-Anne,Dry
9,Fra,80,Daprela Thibaut,2022,07/08/2022,Mont-Sainte-Anne,Dry
10,Fra,75,Levesque Dylan,2022,07/08/2022,Mont-Sainte-Anne,Dry
11,Nzl,70,Pene Tuhoto-Ariki,2022,07/08/2022,Mont-Sainte-Anne,Dry
12,Aus,65,A'Hern Kye,2022,07/08/2022,Mont-Sainte-Anne,Dry
13,Brt,60,Hatton Charlie,2022,07/08/2022,Mont-Sainte-Anne,Dry
14,Swe,55,Zwar Oliver,2022,07/08/2022,Mont-Sainte-Anne,Dry
15,Usa,50,Silva Dante,2022,07/08/2022,Mont-Sainte-Anne,Dry
16,Irl,45,Dunne Ronan,2022,07/08/2022,Mont-Sainte-Anne,Dry
17,Fra,44,Vidal Antoine,2022,07/08/2022,Mont-Sainte-Anne,Dry
18,Fra,43,Thirion Rémi,2022,07/08/2022,Mont-Sainte-Anne,Dry
19,Can,42,Wallace Mark,2022,07/08/2022,Mont-Sainte-Anne,Dry
20,Aus,41,Meier-Smith Luke,2022,07/08/2022,Mont-Sainte-Anne,Dry
21,Swe,40,Zwar Kvist Benjamin,2022,07/08/2022,Mont-Sainte-Anne,Dry
22,Brt,39,Atwill Philip,2022,07/08/2022,Mont-Sainte-Anne,Dry
23,Usa,38,Dooley Austin,2022,07/08/2022,Mont-Sainte-Anne,Dry
24,Fra,37,Estaque Thomas,2022,07/08/2022,Mont-Sainte-Anne,Dry
25,Can,36,Mcdowall Kirk,2022,07/08/2022,Mont-Sainte-Anne,Dry
26,Fra,35,Pierron Amaury,2022,07/08/2022,Mont-Sainte-Anne,Dry
27,Can,34,Cruz Lucas,2022,07/08/2022,Mont-Sainte-Anne,Dry
28,Ita,33,Palazzari Davide,2022,07/08/2022,Mont-Sainte-Anne,Dry
29,Esp,32,Menoyo Busquets Pau,2022,07/08/2022,Mont-Sainte-Anne,Dry
30,Rsa,31,Minnaar Greg,2022,07/08/2022,Mont-Sainte-Anne,Dry
31,Esp,30,Suarez Alonso Angel,2022,07/08/2022,Mont-Sainte-Anne,Dry
32,Fra,29,Pierron Baptiste,2022,07/08/2022,Mont-Sainte-Anne,Dry
33,Bra,28,Vieira Roger,2022,07/08/2022,Mont-Sainte-Anne,Dry
34,Aut,27,Trummer David,2022,07/08/2022,Mont-Sainte-Anne,Dry
35,Fra,26,Rogge Antoine,2022,07/08/2022,Mont-Sainte-Anne,Dry
36,Fra,25,Vige Gaëtan,2022,07/08/2022,Mont-Sainte-Anne,Dry
37,Fra,24,Payet Florent,2022,07/08/2022,Mont-Sainte-Anne,Dry
38,Nzl,23,Hawkesby-Browne Finn,2022,07/08/2022,Mont-Sainte-Anne,Dry
39,Aus,22,Lucas Dean,2022,07/08/2022,Mont-Sainte-Anne,Dry
40,Irl,21,Kerr Henry,2022,07/08/2022,Mont-Sainte-Anne,Dry
41,Fra,20,Laly Thibault,2022,07/08/2022,Mont-Sainte-Anne,Dry
42,Brt,19,Slack Dan,2022,07/08/2022,Mont-Sainte-Anne,Dry
43,Fra,18,Chapelet Simon,2022,07/08/2022,Mont-Sainte-Anne,Dry
44,Aut,17,Kolb Andreas,2022,07/08/2022,Mont-Sainte-Anne,Dry
45,Rsa,16,Erlangsen Theo,2022,07/08/2022,Mont-Sainte-Anne,Dry
46,Sui,15,Lehmann Lino,2022,07/08/2022,Mont-Sainte-Anne,Dry
47,Sct,14,Cathro Ben,2022,07/08/2022,Mont-Sainte-Anne,Dry
48,Brt,13,Brayton Adam,2022,07/08/2022,Mont-Sainte-Anne,Dry
49,Usa,12,Maples Dylan,2022,07/08/2022,Mont-Sainte-Anne,Dry
50,Nzl,11,Masters Wyn,2022,07/08/2022,Mont-Sainte-Anne,Dry
51,Brt,10,Luffman Dennis,2022,07/08/2022,Mont-Sainte-Anne,Dry
52,Brt,9,Williamson Luke,2022,07/08/2022,Mont-Sainte-Anne,Dry
53,Nzl,8,Macdermid James,2022,07/08/2022,Mont-Sainte-Anne,Dry
54,Brt,7,Reading Jack,2022,07/08/2022,Mont-Sainte-Anne,Dry
55,Usa,6,Ervin Tyler,2022,07/08/2022,Mont-Sainte-Anne,Dry
56,Nzl,5,Macdonald Brook,2022,07/08/2022,Mont-Sainte-Anne,Dry
57,Fra,4,Frixtalon Hugo,2022,07/08/2022,Mont-Sainte-Anne,Dry
58,Brt,3,Breeden Joe,2022,07/08/2022,Mont-Sainte-Anne,Dry
1,Fra,250,Vergier Loris,2022,04/09/2022,Val di Sole,Dry
2,Aut,200,Kolb Andreas,2022,04/09/2022,Val di Sole,Dry
3,Usa,170,Norton Dakotah,2022,04/09/2022,Val di Sole,Dry
4,Usa,150,Gwin Aaron,2022,04/09/2022,Val di Sole,Dry
5,Brt,132,Kerr Bernard,2022,04/09/2022,Val di Sole,Dry
6,Fra,115,Coulanges Benoit,2022,04/09/2022,Val di Sole,Dry
7,Brt,108,Hatton Charlie,2022,04/09/2022,Val di Sole,Dry
8,Fra,102,Bruni Loic,2022,04/09/2022,Val di Sole,Dry
9,Fra,96,Thirion Rémi,2022,04/09/2022,Val di Sole,Dry
10,Swe,90,Zwar Oliver,2022,04/09/2022,Val di Sole,Dry
11,Fra,84,Daprela Thibaut,2022,04/09/2022,Val di Sole,Dry
12,Fra,78,Levesque Dylan,2022,04/09/2022,Val di Sole,Dry
13,Can,72,Cruz Lucas,2022,04/09/2022,Val di Sole,Dry
14,Fra,66,Iniguez Matteo,2022,04/09/2022,Val di Sole,Dry
15,Aus,60,Lucas Dean,2022,04/09/2022,Val di Sole,Dry
16,Fra,54,Rogge Antoine,2022,04/09/2022,Val di Sole,Dry
17,Aus,52,Brosnan Troy,2022,04/09/2022,Val di Sole,Dry
18,Usa,50,Shaw Luca,2022,04/09/2022,Val di Sole,Dry
19,Nzl,48,Walker Matthew,2022,04/09/2022,Val di Sole,Dry
20,Irl,46,Dickson Jacob,2022,04/09/2022,Val di Sole,Dry
21,Rsa,40,Finnis Connor,2022,04/09/2022,Val di Sole,Dry
22,Usa,39,Maples Dylan,2022,04/09/2022,Val di Sole,Dry
23,Bra,38,Vieira Roger,2022,04/09/2022,Val di Sole,Dry
24,Brt,37,Molloy Harry,2022,04/09/2022,Val di Sole,Dry
25,Ger,36,Fischbach Johannes,2022,04/09/2022,Val di Sole,Dry
26,Por,35,Reis Nuno,2022,04/09/2022,Val di Sole,Dry
27,Ita,34,Introzzi Stefano,2022,04/09/2022,Val di Sole,Dry
28,Fra,33,Garcin Johan,2022,04/09/2022,Val di Sole,Dry
29,Brt,32,Hart Danny,2022,04/09/2022,Val di Sole,Dry
30,Fra,31,Laly Thibault,2022,04/09/2022,Val di Sole,Dry
31,Usa,30,Mulally Neko,2022,04/09/2022,Val di Sole,Dry
32,Irl,29,Kerr Henry,2022,04/09/2022,Val di Sole,Dry
33,Aut,28,Trummer David,2022,04/09/2022,Val di Sole,Dry
34,Sui,27,Lehmann Lino,2022,04/09/2022,Val di Sole,Dry
35,Sui,26,Lehmann Janis,2022,04/09/2022,Val di Sole,Dry
36,Fra,25,Rilat Emile,2022,04/09/2022,Val di Sole,Dry
37,Aus,24,Frew Jackson,2022,04/09/2022,Val di Sole,Dry
38,Fra,23,Payet Florent,2022,04/09/2022,Val di Sole,Dry
39,Nzl,22,Brannigan George,2022,04/09/2022,Val di Sole,Dry
40,Can,21,Jewett Jakob,2022,04/09/2022,Val di Sole,Dry
41,Can,20,Mcdowall Kirk,2022,04/09/2022,Val di Sole,Dry
42,Sui,19,Baechler Yannick,2022,04/09/2022,Val di Sole,Dry
43,Nor,18,Smestad Simen,2022,04/09/2022,Val di Sole,Dry
44,Esp,17,Menoyo Busquets Pau,2022,04/09/2022,Val di Sole,Dry
45,Brt,16,Atwill Philip,2022,04/09/2022,Val di Sole,Dry
46,Can,15,Jamieson Elliot,2022,04/09/2022,Val di Sole,Dry
47,Sct,14,Wilson Reece,2022,04/09/2022,Val di Sole,Dry
48,Fra,13,Frixtalon Hugo,2022,04/09/2022,Val di Sole,Dry
49,Can,12,Wallace Mark,2022,04/09/2022,Val di Sole,Dry
50,Swe,11,Zwar Kvist Benjamin,2022,04/09/2022,Val di Sole,Dry
51,Nzl,10,Macdermid James,2022,04/09/2022,Val di Sole,Dry
52,Brt,9,Greenland Laurie,2022,04/09/2022,Val di Sole,Dry
53,Fra,8,Pierron Amaury,2022,04/09/2022,Val di Sole,Dry
54,Brt,7,Vernon Taylor,2022,04/09/2022,Val di Sole,Dry
55,Can,6,Sherlock Seth,2022,04/09/2022,Val di Sole,Dry
